,accuracy,precision,recall,f1,auc
lgb,0.40273972602739727,0.9230769230769231,0.183206106870229,0.3057324840764331,0.599051359964426
xgb,0.3095890410958904,0.8125,0.04961832061068702,0.09352517985611511,0.5524345957162974
cat,0.3972602739726027,0.9565217391304348,0.16793893129770993,0.2857142857142857,0.6116504854368932
rf,0.30684931506849317,0.7368421052631579,0.05343511450381679,0.099644128113879,0.5558622989698363
lr,0.2958904109589041,1.0,0.019083969465648856,0.03745318352059925,0.5521381457051805
ensemble,0.536986301369863,0.8163265306122449,0.4580152671755725,0.58679706601467,0.6026828726006077
