side,entry_time,entry_price,units,sl_price,tp_price,trail_stop,entry_commission,entry_prob,exit_time,exit_price,exit_commission,pnl,exit_reason
long,2023-11-29 15:00:00+00:00,2047.741334436035,2.44391218550964,2026.3127368495395,,,2.5022499999999988,0.5770484556520459,2023-12-08 14:00:00+00:00,2025.0969492074298,2.4745795555032175,-55.340888993562714,SL
short,2023-12-08 14:30:00+00:00,2029.091102203369,2.46341822433314,2035.573245060512,,,2.4992499999999986,0.3624797611544565,2023-12-13 19:30:00+00:00,2036.794589007548,2.508738454892161,-18.97690978432432,SL
long,2023-12-13 20:00:00+00:00,2031.0262311279296,2.4640252909095866,2020.1779841448101,,,2.502249999999999,0.5943319630262668,2024-01-11 16:00:00+00:00,2018.965877354323,2.4873914916422573,-29.717016715483272,SL
long,2024-01-12 17:00:00+00:00,2054.64756887207,2.4356975258522287,2044.7368415073938,,,2.502249999999999,0.5641199760363343,2024-01-16 09:00:00+00:00,2043.5099994024893,2.4886861247994663,-27.12775040106568,SL
short,2024-01-16 10:00:00+00:00,2044.4864455932614,2.444868250789284,2049.046619281877,,,2.4992499999999986,0.3624797611544565,2024-01-30 08:00:00+00:00,2050.276047253446,2.5063274066418497,-14.154813283702365,SL
long,2024-01-30 15:30:00+00:00,2050.1433966918944,2.4410487617964893,2026.5184163103374,,,2.5022499999999988,0.5819529471337185,2024-02-12 14:30:00+00:00,2025.3025052605512,2.4719310863647985,-60.637827270401225,SL
short,2024-02-13 10:00:00+00:00,2039.5878911865232,2.450740182170888,2042.3735858537943,,,2.499249999999998,0.43546514707608797,2024-02-13 11:00:00+00:00,2043.5990100053066,2.504165105032326,-9.830210064654345,SL
short,2024-02-13 12:00:00+00:00,2040.6876588134764,2.4494194289910545,2043.5965638427733,,,2.4992499999999986,0.35478711057112955,2024-02-13 13:00:00+00:00,2044.8227217810788,2.504314251786472,-10.128503572946677,SL
short,2024-02-13 17:00:00+00:00,2007.3975999999998,2.490039840637449,2017.3886583496092,,,2.499249999999998,0.35478711057112955,2024-02-15 14:00:00+00:00,2018.599091544619,2.513196080110331,-27.89216022066508,SL
long,2024-02-15 15:30:00+00:00,2015.6625016540522,2.4828065193916666,2010.3321772086003,,,2.5022499999999988,0.5943319630262668,2024-02-15 16:00:00+00:00,2009.125977902275,2.494135538107463,-16.228923785070826,SL
long,2024-02-15 16:30:00+00:00,2013.8107999999997,2.485089463220675,2007.3768858154294,,,2.5022499999999988,0.5678890100061326,2024-02-16 13:00:00+00:00,2006.1724596839401,2.492759020482032,-18.98195903593342,SL
long,2024-02-16 14:00:00+00:00,2014.8116999999997,2.4838549428713352,2011.8117261579239,,,2.5022499999999988,0.5943319630262668,2024-02-16 14:00:00+00:00,2010.604639122229,2.497025135521893,-10.44972895621162,SL
long,2024-02-16 14:30:00+00:00,2013.210284436035,2.485830734468913,2009.096022263881,,,2.5022499999999988,0.5943319630262668,2024-02-16 14:30:00+00:00,2007.8905646505225,2.4956380385292043,-13.22392294158925,SL
long,2024-02-16 15:00:00+00:00,2011.6088688720702,2.4878096718702936,2006.7660431187219,,,2.5022499999999988,0.5943319630262668,,,,,
