side,entry_time,entry_price,units,sl_price,tp_price,trail_stop,entry_idx,entry_commission,entry_reason,exit_time,exit_price,exit_commission,pnl,exit_reason
long,2023-11-28 13:00:00+00:00,2016.814848876953,4.963271668479623,2012.6630762416294,2027.8862425711493,2013.493430768694,22,5.004999999999997,signal_prob=0.605,2023-11-28 13:00:00+00:00,2011.2542120882601,4.991200524483985,-27.59895103202458,SL
long,2023-11-28 14:00:00+00:00,2024.0219999999997,4.945598417408505,2019.8220052315846,2035.2219860491068,2021.928536551339,23,5.004999999999997,signal_prob=0.588,2023-11-28 15:30:00+00:00,2033.7973306588724,5.029172429918081,48.34485983616561,TP
long,2023-11-28 16:00:00+00:00,2033.7316511230467,4.92198663204773,2026.9602016252788,2051.7888497837607,2039.540053013393,27,5.004999999999997,signal_prob=0.581,2023-11-29 01:00:00+00:00,2050.352597588912,5.045904038158482,81.8080763169697,TP
long,2023-11-29 02:00:00+00:00,2051.149197753906,4.8801910709183725,2044.7313510742183,2068.263455566406,2046.0149204101558,42,5.004999999999997,signal_prob=0.566,2023-11-29 03:00:00+00:00,2043.3000391284663,4.985847303080951,-38.3053938380917,SL
long,2023-11-29 04:00:00+00:00,2046.9449244384764,4.890214622040193,2041.630628261021,2061.1163809116906,2043.6914446149553,44,5.004999999999997,signal_prob=0.589,2023-11-29 07:00:00+00:00,2042.2608606037247,4.9935469612723615,-22.906077455272268,TRAIL_STOP
long,2023-11-29 08:00:00+00:00,2045.2431511230466,4.894283593861926,2040.132409371512,2058.8717957938056,2041.154557721819,48,5.004999999999997,signal_prob=0.588,2023-11-29 08:00:00+00:00,2057.4305855367497,5.034824380151124,59.6487603022556,TP
long,2023-11-29 09:00:00+00:00,2065.7636511230467,4.845665666814345,2060.5886131940565,2079.56375226702,2061.6236207798547,49,5.004999999999997,signal_prob=0.566,2023-11-29 09:00:00+00:00,2059.1462011648205,4.988967024967779,-32.06595006443867,SL
long,2023-11-29 10:00:00+00:00,2061.2591511230466,4.856254971407256,2053.978740356445,2080.673579833984,2055.4348225097656,50,5.004999999999997,signal_prob=0.566,2023-11-29 10:00:00+00:00,2052.5409552381957,4.9838311089462435,-42.33778210750974,SL
long,2023-11-29 11:00:00+00:00,2060.2581511230464,4.858614438459347,2050.181327479771,2087.129680838448,2052.1966922084257,51,5.004999999999996,signal_prob=0.565,2023-11-29 11:00:00+00:00,2048.746200550535,4.97703393536678,-55.932129266434835,SL
long,2023-11-29 12:00:00+00:00,2063.2611511230466,4.851542905536454,2051.020053536551,2095.904078020368,2053.46827305385,52,5.004999999999997,signal_prob=0.566,2023-11-29 12:00:00+00:00,2049.5843394990757,4.97182318079768,-66.3536384046347,SL
