entry_idx,entry_date,entry_price,position_size_frac,shares,fee_entry,exit_idx,exit_date,exit_price,pnl,return,fee_exit
5,2023-11-08 20:30:00+00:00,1956.9279261474608,0.05,0.25550251152291203,0.25,7,2023-11-08 22:00:00+00:00,1955.1718883972171,-0.9484477194885383,-0.0018968954389770767,0.24977566397224182
11,2023-11-09 02:00:00+00:00,1956.07752557373,0.05,0.2555893470875528,0.2499762888070128,11,2023-11-09 02:00:00+00:00,1954.1224255981444,-0.9994054525017279,-0.00199900049974998,0.24972643744388737
14,2023-11-09 06:00:00+00:00,1955.277198852539,0.05,0.2556684073413069,0.24995130367070026,14,2023-11-09 06:00:00+00:00,1953.322898803711,-0.9993055619017971,-0.001999000499750019,0.24970147728022482
20,2023-11-09 12:00:00+00:00,1951.775448852539,0.05,0.25610151124565683,0.24992632103165272,20,2023-11-09 12:00:00+00:00,1949.824648803711,-0.9992056812859651,-0.0019990004997501192,0.24967651961133122
23,2023-11-09 14:30:00+00:00,1966.732875,0.05,0.2541284015396555,0.24990134088962054,25,2023-11-09 15:30:00+00:00,1965.9165133972172,-0.707159620638179,-0.001414877603539002,0.24979761055502378
29,2023-11-09 17:30:00+00:00,1968.5837755737302,0.05,0.25387150397120156,0.2498836618991046,31,2023-11-09 18:30:00+00:00,1964.9669761962891,-1.417510520162533,-0.0028363409383981267,0.24942456075034808
37,2023-11-09 22:00:00+00:00,1964.731875,0.05,0.2543331508133653,0.2498482241361005,37,2023-11-09 22:00:00+00:00,1962.768125,-0.9988934498194646,-0.00199900049975007,0.24959850077364565
66,2023-11-10 20:30:00+00:00,1942.4206761474609,0.0,0.0,0.0,90,2023-11-11 20:00:00+00:00,1942.556209645996,0.0,,0.0
124,2023-11-13 06:00:00+00:00,1943.6713011474608,0.0,0.0,0.0,124,2023-11-13 06:00:00+00:00,1941.7286011962892,-0.0,,0.0
128,2023-11-13 11:00:00+00:00,1942.8709744262694,0.0,0.0,0.0,128,2023-11-13 11:00:00+00:00,1940.9290744018556,-0.0,,0.0
152,2023-11-14 07:00:00+00:00,1950.4747499999999,0.1,0.5123332189762622,0.4996465035997101,153,2023-11-14 08:00:00+00:00,1948.2253511962892,-2.151158516200902,-0.002152680445778016,0.4990702827347769
160,2023-11-14 14:30:00+00:00,1971.1851122131347,0.1,0.506841232291011,0.4995389456739,160,2023-11-14 14:30:00+00:00,1969.2149122009278,-1.997157204093531,-0.0019990004997501028,0.4990396563728766
168,2023-11-14 18:30:00+00:00,1968.2336249999998,0.1,0.5074998023303208,0.49943908781369534,170,2023-11-14 19:30:00+00:00,1966.7161622009278,-1.768605190164792,-0.001770591482844181,0.49905403177840896
180,2023-11-15 04:00:00+00:00,1972.1855511474607,0.1,0.5063931811726882,0.49935065755418706,181,2023-11-15 05:00:00+00:00,1969.6146755981445,-2.2999242260018136,-0.002302914986902002,0.49869972063027834
