entry_idx,entry_date,entry_price,units,invest,fee_entry,confidence,regime,stop_distance,tp_distance,exit_idx,exit_date,exit_price,fee_exit,pnl,return,exit_reason
1,2023-11-08 22:00:00+00:00,1957.1280383605958,1.2268998005932124,2400.0,1.2,0.610038855997703,neutral,4.375152587890625,3.912299926757813,5,2023-11-09 02:00:00+00:00,1954.1224255981444,1.198756207150544,-4.886341906062333,-0.002035975794192639,signal_exit
56,2023-11-10 18:30:00+00:00,1940.719875,0.9273898484118616,1798.9044584569085,0.8994522292284542,0.8679170839160966,bear,14.330368041992065,10.317864990234288,84,2023-11-11 20:00:00+00:00,1942.556209645996,0.9007534543975603,0.8022446545860326,0.00044596290304055065,signal_exit
144,2023-11-14 05:00:00+00:00,1949.174051147461,1.5389308132116282,2998.144935155788,1.4990724675778941,0.5408229752559055,bull,4.7678811209542005,3.89639990234375,146,2023-11-14 07:00:00+00:00,1948.5252500000001,1.4993227737729455,-2.4977828512475924,-0.0008331094410943825,signal_exit
149,2023-11-14 10:00:00+00:00,1951.775448852539,1.5362650212975193,2996.945878560141,1.4984729392800704,0.5134170995459051,bull,4.232188633510085,3.90160009765625,152,2023-11-14 13:00:00+00:00,1957.4208244018555,1.5035585722439622,7.169234416258844,0.002392180141639143,takeprofit
161,2023-11-14 18:00:00+00:00,1967.6833011474607,1.524710012432992,2998.6471070032344,1.4993235535016172,0.47221595302128416,bull,16.714346749442004,12.034329659598242,162,2023-11-14 18:30:00+00:00,1966.2663750000002,1.498993014536412,-3.6593944984477127,-0.0012203484997955665,signal_exit
168,2023-11-14 22:00:00+00:00,1967.6833011474607,1.5239231026582383,2997.0994915876495,1.4985497457938248,0.597129984636257,bull,7.312491280691883,5.264993722098156,177,2023-11-15 07:00:00+00:00,1972.9130744018555,1.5032839068087396,6.466488377227741,0.002157582154138719,signal_exit
185,2023-11-15 14:30:00+00:00,1964.8819744262694,1.5268546442794209,2998.5898731770794,1.4992949365885397,0.4899572260121845,bull,11.187482561383806,8.05498744419634,186,2023-11-15 15:00:00+00:00,1965.8166488037111,1.5007581400138768,-0.07364622592807768,-2.4560286348878947e-05,signal_exit
199,2023-11-15 22:00:00+00:00,1964.1816122131347,0.9162952237733041,1798.870794496995,0.8994353972484975,0.5795812837672996,bear,8.116084507533483,5.843580845424107,207,2023-11-16 06:00:00+00:00,1968.6151755981443,0.901916341424112,3.160536612556598,0.0017569558760001747,signal_exit
211,2023-11-16 10:00:00+00:00,1968.5837755737302,0.9144530468800897,1799.2777927157504,0.8996388963578752,0.6118142461184004,bear,6.017870221819237,4.332866559709851,214,2023-11-16 13:00:00+00:00,1974.0125,0.9025708726021916,4.061742719672757,0.002257429473156639,takeprofit
229,2023-11-16 21:00:00+00:00,1985.292198852539,1.5117395950836574,2999.7449523399114,1.4998724761699558,0.5231086683851682,bull,10.37500653948123,7.470004708426487,233,2023-11-17 01:00:00+00:00,1985.007,1.5004068392091128,-1.9315532370647404,-0.0006439058212459222,signal_exit
235,2023-11-17 03:00:00+00:00,1990.0945255737302,1.5075740593393736,2998.7155246259404,1.4993577623129701,0.5656400451248587,bull,5.616106305803693,4.043596540178659,240,2023-11-17 08:00:00+00:00,1990.4043244018555,1.5003409635325746,-1.0332962866366082,-0.00034457963022867987,signal_exit
321,2023-11-20 12:00:00+00:00,1975.787448852539,1.2144847698136472,2398.3645827290047,1.1991822913645025,0.47945578771929864,neutral,10.249938964843427,7.379956054687267,332,2023-11-20 18:30:00+00:00,1979.359861602783,1.2019512029485142,3.1366896737110963,0.0013078452276600835,signal_exit
335,2023-11-20 20:00:00+00:00,1981.2901988525389,0.9085098944678791,1799.1221883755757,0.8995610941877878,0.5029728787834415,bear,11.848155430385003,8.530671909877203,341,2023-11-21 01:00:00+00:00,1990.804148803711,0.9043326335679377,7.739185032544137,0.004301645036978747,takeprofit
342,2023-11-21 02:00:00+00:00,1993.3962244262693,1.5060172811882486,3000.5888678074666,1.5002944339037334,0.5530786475187399,bull,9.285670689174149,6.685682896205387,343,2023-11-21 03:00:00+00:00,1993.9025744018556,1.5014258670274663,-0.7388540534651489,-0.0002462363509350184,signal_exit
349,2023-11-21 09:00:00+00:00,1988.0935255737302,1.5096961200337538,2999.917123261256,1.4999585616306281,0.47300950839448563,bull,9.642802647182082,6.942817905971099,353,2023-11-21 13:00:00+00:00,1998.6001755981445,1.5086394652996489,14.353209311111431,0.0047845352792639274,takeprofit
