side,entry_idx,entry_date,entry_price,units,invest,fee_entry,confidence,regime,stop_distance,tp_distance,exit_idx,exit_date,exit_price,fee_exit,pnl,return,exit_reason
long,151,2023-11-14 12:00:00+00:00,1949.9744999999998,2.553878959877694,4977.510092801625,2.488755046400813,0.6686995250528744,bull,3.2464521135602973,5.7714704241071955,152,2023-11-14 13:00:00+00:00,1957.4208244018555,2.4995079295331744,16.51750328879003,0.0033184268802743987,takeprofit
short,154,2023-11-14 14:30:00+00:00,1969.2149122009278,2.52995860117731,4984.52446692282,2.49226223346141,0.5883659362225433,bull,10.022183663504464,17.817215401785713,158,2023-11-14 16:30:00+00:00,1968.0335127868652,2.4895216565401626,0.4993699524929269,0.00010018407087912469,signal_exit
long,159,2023-11-14 17:00:00+00:00,1967.08302557373,2.534727675431227,4983.528020782335,2.491764010391168,0.3810343669208389,bull,11.783621651785744,20.948660714285765,162,2023-11-14 18:30:00+00:00,1966.2663750000002,2.491974898991168,-4.561961709380478,-0.0009154080583787551,signal_exit
short,164,2023-11-14 19:30:00+00:00,1966.7161622009278,2.530874181545962,4980.00115792245,2.490000578961225,0.44828237914766755,bull,11.873599679129464,21.108621651785715,167,2023-11-14 21:00:00+00:00,1968.1835511474608,2.4906124670712777,-6.20438926613746,-0.001245861008740367,signal_exit
long,168,2023-11-14 22:00:00+00:00,1967.6833011474607,2.5299507228009617,4975.6539629999015,2.4878269814999507,0.597129984636257,bull,5.264993722098156,9.359988839285611,177,2023-11-15 07:00:00+00:00,1972.9130744018555,2.495686429303221,10.735382195737968,0.002157582154138676,signal_exit
short,179,2023-11-15 09:00:00+00:00,1974.1124255981445,2.5212788224199687,4979.777740607021,2.4898888703035107,0.7353548822225837,bull,3.992117745535627,7.097098214285559,184,2023-11-15 14:00:00+00:00,1961.9805,2.473349942325471,28.114617143451184,0.005645757422905403,takeprofit
long,185,2023-11-15 14:30:00+00:00,1964.8819744262694,2.5421813955286012,4992.5901047435955,2.496295052371798,0.4899572260121845,bull,8.05498744419634,14.319977678571272,186,2023-11-15 15:00:00+00:00,1965.8166488037111,2.4987312558045884,-0.12261944259487034,-2.4560286348836504e-05,signal_exit
short,187,2023-11-15 15:30:00+00:00,1965.466787200928,2.5382189308205114,4991.280647496113,2.495640323748056,0.4043843526384461,bull,9.218580845424048,16.388588169642755,198,2023-11-15 21:00:00+00:00,1964.0815255737302,2.4926344549430364,1.0234628313492427,0.00020505014717268305,signal_exit
long,199,2023-11-15 22:00:00+00:00,1964.1816122131347,1.779432136004154,3493.381191124939,1.7466905955624696,0.5795812837672996,bear,5.843580845424107,10.388588169642858,207,2023-11-16 06:00:00+00:00,1968.6151755981443,1.7515085534423995,6.137716610855441,0.0017569558760001719,signal_exit
long,210,2023-11-16 09:00:00+00:00,1969.7844488525388,1.7751513427229686,3494.918050230292,1.747459025115146,0.40383672110860824,bear,4.345712716238869,7.725711495535767,215,2023-11-16 14:00:00+00:00,1981.7086011962892,1.7589163421496243,19.408258701692155,0.0055532800548537264,takeprofit
short,218,2023-11-16 15:30:00+00:00,1985.50675,2.517780252502315,5001.570471595849,2.5007852357979248,0.5426531450489176,bull,8.877863420758928,15.782868303571428,227,2023-11-16 20:00:00+00:00,1984.8919744262694,2.4987609082803957,-0.9508911090200982,-0.00019011850666110833,signal_exit
long,229,2023-11-16 21:00:00+00:00,1985.292198852539,2.5197019152301166,4999.84463342344,2.49992231671172,0.5231086683851682,bull,7.470004708426487,13.280008370535976,233,2023-11-17 01:00:00+00:00,1985.007,2.500812969822594,-3.219429064786685,-0.0006439058212459517,signal_exit
long,235,2023-11-17 03:00:00+00:00,1990.0945255737302,2.512183911852248,4996.984957732691,2.498492478866346,0.5656400451248587,bull,4.043596540178659,7.1886160714287275,237,2023-11-17 05:00:00+00:00,1985.7066011962893,2.494230088592063,-13.517503116023123,-0.002705131840572218,stop
long,238,2023-11-17 06:00:00+00:00,1986.993,2.512072990903951,4988.976959935247,2.4944884799676235,0.36926655969941424,bull,4.069312395368304,7.234333147321429,240,2023-11-17 08:00:00+00:00,1990.4043244018555,2.5000204721541635,6.069475420958453,0.0012165771599468823,signal_exit
short,241,2023-11-17 09:00:00+00:00,1993.1029255981443,2.5027654152291325,4990.764453405742,2.495382226702871,0.5942494341627353,bull,4.937161690848214,8.777176339285715,246,2023-11-17 14:00:00+00:00,1983.8914744262695,2.482607484880999,20.571493932159328,0.00412191240925449,takeprofit
long,247,2023-11-17 14:30:00+00:00,1985.4422372131346,2.519490276148541,4999.802509258469,2.499901254629235,0.3844015092205162,bull,7.367109898158453,13.097084263392805,250,2023-11-17 16:00:00+00:00,1982.808148803711,2.49783292518952,-9.134393059248048,-0.0018269507730221902,signal_exit
short,252,2023-11-17 18:00:00+00:00,1983.7076011962893,2.516241993734524,4993.985362101531,2.4969926810507657,0.6302152279388091,bull,8.633543178013392,15.348521205357143,309,2023-11-20 00:00:00+00:00,1980.9899999999998,2.492325113584077,4.345817138743012,0.000870210227631552,signal_exit
long,310,2023-11-20 01:00:00+00:00,1984.6918011474609,1.7625835197332824,3496.436842031264,1.748218421015632,0.44952635667952756,bear,8.88738511439723,15.79979575892841,314,2023-11-20 05:00:00+00:00,1981.808648803711,1.7465516318231529,-6.828348437796834,-0.001952944882547882,signal_exit
long,321,2023-11-20 12:00:00+00:00,1975.787448852539,2.274437528232912,4491.559341810875,2.245779670905437,0.47945578771929864,neutral,7.379956054687267,13.119921874999585,332,2023-11-20 18:30:00+00:00,1979.359861602783,2.250965175553636,5.8742644499388295,0.0013078452276599525,signal_exit
long,335,2023-11-20 20:00:00+00:00,1981.2901988525389,1.7647351043451167,3494.705013303341,1.7473525066516704,0.5029728787834415,bear,8.530671909877203,15.165638950892806,343,2023-11-21 03:00:00+00:00,1993.9025744018556,1.7593549338455279,20.498146947217506,0.005865487035153735,signal_exit
short,344,2023-11-21 04:00:00+00:00,1992.803148803711,2.5086824195087325,5001.8111305107695,2.5009055652553847,0.35214770393906214,bull,6.602116176060327,11.737095424107247,348,2023-11-21 08:00:00+00:00,1990.6948011474608,2.4970105251230335,2.792164174325234,0.0005582306291601432,signal_exit
long,349,2023-11-21 09:00:00+00:00,1988.0935255737302,2.5172144437978643,5001.956759815304,2.5009783799076524,0.47300950839448563,bull,6.942817905971099,12.342787388393065,353,2023-11-21 13:00:00+00:00,1998.6001755981445,2.5154526146962986,23.93203858268851,0.004784535279263828,signal_exit
short,355,2023-11-21 14:30:00+00:00,2006.0464627990723,2.497532358637877,5012.672289916695,2.5063361449583477,0.6904485400032874,bull,9.372828892299195,16.662806919643014,371,2023-11-22 00:00:00+00:00,2000.3997244262694,2.4980315209824497,11.604880285854806,0.0023151085119206276,signal_exit
long,372,2023-11-22 01:00:00+00:00,1999.1990511474608,2.510870625857396,5017.221561987144,2.508610780993572,0.3569295266851116,bull,5.252155412946488,9.337165178571533,377,2023-11-22 06:00:00+00:00,2001.0989255981444,2.5122502558595876,2.258088695178369,0.0004500675657393173,signal_exit
short,379,2023-11-22 08:00:00+00:00,2000.3993244018557,2.5067933645164517,5017.096300944237,2.5085481504721185,0.6170904879034531,bull,5.168565150669614,9.18856026785709,393,2023-11-22 18:00:00+00:00,1991.295198852539,2.4958827956385066,20.326278721112786,0.004051402943429111,signal_exit
long,394,2023-11-22 18:30:00+00:00,1992.3957244262695,1.7666985905535804,3518.20361636069,1.759101808180345,0.5894528398680936,bear,10.22786342075896,18.18286830357148,403,2023-11-23 03:00:00+00:00,1997.800648803711,1.7647557952242723,7.784116484450652,0.00221252586071261,signal_exit
