entry_idx,entry_date,side,entry_price,units,risk_frac,conf_weight,vol_scale,trend_weight,exit_idx,exit_price,gross_ret,net_ret,pct_ret,pre_equity,post_equity,exit_reason
183,2023-11-15 13:00:00+00:00,long,1970.3847244262695,,0.023275887538406786,0.82219703969165,1.4,1.011049246920178,,,,,,,,
183,,short,1970.3847244262695,,,,,,186.0,1967.7834488525389,0.0013219318290573767,-0.00017806817094262331,,,,sl
187,2023-11-15 15:30:00+00:00,long,1967.4332372131346,,0.021716383323933504,0.7687717523353284,1.4,1.0088626648363255,,,,,,,,
187,,short,1967.4332372131346,,,,,,188.0,1967.08302557373,0.0001780360233154532,-0.0013219639766845468,,,,sl
191,2023-11-15 17:30:00+00:00,long,1965.4822499999998,,0.021688783324501425,0.7687717523353284,1.4,1.0075804711781466,,,,,,,,
191,,short,1965.4822499999998,,,,,,192.0,1964.982,0.00025458248472487455,-0.0012454175152751255,,,,sl
195,2023-11-15 19:30:00+00:00,long,1965.182051147461,,0.022251021204431592,0.7903016200963862,1.4,1.0055392884463272,,,,,,,,
195,,short,1965.182051147461,,,,,,196.0,1964.1815511474608,0.0005093724658067345,-0.0009906275341932656,,,,sl
199,2023-11-15 22:00:00+00:00,long,1964.1816122131347,,0.02375937871997059,0.846523581805358,1.4,1.0023929140748467,,,,,,,,
199,,short,1964.1816122131347,,,,,,200.0,1964.281698852539,-5.0953302401901546e-05,-0.0015509533024019016,,,,sl
203,2023-11-16 02:00:00+00:00,long,1964.3817244262693,,0.0236807461556088,0.846523581805358,1.4,0.9990754567347041,,,,,,,,
203,,short,1964.3817244262693,,,,,,204.0,1965.08202557373,-0.0003563724762360998,-0.0018563724762360998,,,,sl
207,2023-11-16 06:00:00+00:00,long,1970.5847755737302,,0.023660525562148208,0.846523581805358,1.4,0.9982223628957542,,,,,,,,
207,,short,1970.5847755737302,,,,,,208.0,1970.284698852539,0.00015230119858622437,-0.0013476988014137757,,,,sl
