side,entry_price,entry_idx,conf_weight,vol_scale,risk_frac
long,2065.63227557373,59,0.5659508280954771,1.0,0.14148770702386929
long,2057.328198852539,84,0.5659508280954771,1.0,0.14148770702386929
long,2048.323698852539,260,0.5645011572117045,1.0,0.14112528930292612
long,2046.822948852539,273,0.5891692189000749,1.0,0.14729230472501872
long,2023.71132557373,372,0.5814413104849437,1.0,0.14536032762123594
long,2015.307198852539,383,0.5659508280954771,1.0,0.14148770702386929
long,2030.1145255737301,461,0.5814413104849437,1.0,0.14536032762123594
long,2043.7213011474607,1297,0.5659508280954771,1.0,0.14148770702386929
long,2025.9124133605958,1480,0.5814413104849437,1.0,0.14536032762123594
long,2026.4627372131347,1609,0.6046597012895415,1.0,0.15116492532238537
long,2017.1580994262695,1642,0.6046597012895415,1.0,0.15116492532238537
long,2021.3101988525389,1693,0.6041117476357071,1.0,0.15102793690892677
long,2017.558262786865,1706,0.6046597012895415,1.0,0.15116492532238537
long,2010.6047755737302,2267,0.6046597012895415,1.0,0.15116492532238537
