side,entry_idx,entry_date,entry_price,units,risk_frac,conf_strength,exit_idx,exit_date,exit_price,exit_reason,pct_ret
long,103,2023-11-12 15:00:00+00:00,1945.1840981835937,0.06500336987223085,0.012638033123819087,0.1319016561909543,114.0,2023-11-13 02:00:00+00:00,1940.52925,sl,-4.2821178523635974e-05
long,115,2023-11-13 03:00:00+00:00,1940.3697244262694,0.0696514555462634,0.013508781920652085,0.1754390960326042,123.0,2023-11-13 12:00:00+00:00,1939.1299255981444,sl,-2.2148205944727264e-05
long,132,2023-11-13 18:00:00+00:00,1953.1760511474608,0.06443617097205741,0.01258004628846818,0.12900231442340893,138.0,2023-11-13 21:00:00+00:00,1949.2248511962891,sl,-3.7990035434824183e-05
long,139,2023-11-13 22:00:00+00:00,1951.375163360596,0.06955174441355501,0.013566768756002996,0.1783384378001498,143.0,2023-11-14 03:00:00+00:00,1947.6256755981444,sl,-3.959818322855383e-05
long,144,2023-11-14 05:00:00+00:00,1949.174051147461,0.06962752875272962,0.013566768756002996,0.1783384378001498,151.0,2023-11-14 12:00:00+00:00,1948.0255000000002,sl,-2.1569843844263846e-05
long,152,2023-11-14 13:00:00+00:00,1959.3792244262695,0.07242677516866132,0.01418638805158166,0.209319402579083,158.0,2023-11-14 16:30:00+00:00,1966.0664627990723,sl,3.438205706357406e-05
long,159,2023-11-14 17:00:00+00:00,1967.08302557373,0.06397647273085551,0.01258004628846818,0.12900231442340893,183.0,2023-11-15 13:00:00+00:00,1968.4153244018555,sl,-4.066436512425678e-06
long,184,2023-11-15 14:00:00+00:00,1961.9805,0.06414259560478522,0.01258004628846818,0.12900231442340893,202.0,2023-11-16 01:00:00+00:00,1960.0195,sl,-2.5153805697230444e-05
long,217,2023-11-16 15:00:00+00:00,1988.8939744262693,0.06327303410596286,0.01258004628846818,0.12900231442340893,219.0,2023-11-16 16:00:00+00:00,1984.1074255981443,sl,-4.279530593762381e-05
long,220,2023-11-16 16:30:00+00:00,1986.792887786865,0.06333723638011364,0.01258004628846818,0.12900231442340893,237.0,2023-11-17 05:00:00+00:00,1985.7066011962893,sl,-1.946705304719681e-05
long,238,2023-11-17 06:00:00+00:00,1986.993,0.0680050033436391,0.013508781920652085,0.1754390960326042,243.0,2023-11-17 11:00:00+00:00,1990.6041755981444,sl,1.1073312969673429e-05
long,244,2023-11-17 12:00:00+00:00,1992.3957244262695,0.06473301820245338,0.012893642841764717,0.14468214208823582,245.0,2023-11-17 13:00:00+00:00,1986.306398803711,sl,-5.2192589196302456e-05
long,247,2023-11-17 14:30:00+00:00,1985.4422372131346,0.06366861270052367,0.012638033123819087,0.1319016561909543,262.0,2023-11-18 01:00:00+00:00,1981.9885100000001,sl,-3.459656587791522e-05
long,263,2023-11-18 02:00:00+00:00,1983.8414249999998,0.06867003912053055,0.013620282660068078,0.18101413300340385,266.0,2023-11-18 05:00:00+00:00,1981.4687700000002,sl,-2.9904125013688668e-05
long,342,2023-11-21 02:00:00+00:00,1993.3962244262693,0.07417816478075509,0.014784089201006947,0.23920446005034735,348.0,2023-11-21 08:00:00+00:00,1988.7051011962892,sl,-4.950877553471343e-05
long,349,2023-11-21 09:00:00+00:00,1988.0935255737302,0.0632847498380901,0.01258004628846818,0.12900231442340893,354.0,2023-11-21 14:00:00+00:00,2006.5961755981443,tp,0.00010557711905093596
long,355,2023-11-21 14:30:00+00:00,2008.0535127868652,0.05959825464363106,0.011964907209580811,0.09824536047904053,357.0,2023-11-21 15:30:00+00:00,2003.8975744018555,sl,-3.668855810074093e-05
long,358,2023-11-21 16:00:00+00:00,2004.301698852539,0.05970762480716518,0.011964907209580811,0.09824536047904053,362.0,2023-11-21 18:00:00+00:00,1999.8995744018555,sl,-3.819807282724292e-05
long,363,2023-11-21 18:30:00+00:00,2002.550762786865,0.06282979902175338,0.01258004628846818,0.12900231442340893,372.0,2023-11-22 01:00:00+00:00,1997.2008511962892,sl,-4.611094448034224e-05
long,373,2023-11-22 02:00:00+00:00,1999.3992244262695,0.07395064971909417,0.014784089201006947,0.23920446005034735,379.0,2023-11-22 08:00:00+00:00,2000.3993244018557,sl,-7.400176707501661e-06
long,380,2023-11-22 09:00:00+00:00,2004.9019744262694,0.07047638203531784,0.014128401216230749,0.2064200608115374,381.0,2023-11-22 10:00:00+00:00,2001.9985000000001,sl,-3.4573443242106175e-05
long,383,2023-11-22 12:00:00+00:00,2004.60177557373,0.06739331042795917,0.013508781920652085,0.1754390960326042,384.0,2023-11-22 13:00:00+00:00,1999.9995000000001,sl,-4.446521489074672e-05
long,386,2023-11-22 14:30:00+00:00,2001.350211639404,0.05978546919146484,0.011964907209580811,0.09824536047904053,387.0,2023-11-22 15:00:00+00:00,1995.9015744018557,sl,-4.4462318804887155e-05
long,389,2023-11-22 16:00:00+00:00,1993.796448852539,0.06000930611439397,0.011964907209580811,0.09824536047904053,393.0,2023-11-22 18:00:00+00:00,1989.304898803711,sl,-3.887017802454884e-05
long,394,2023-11-22 18:30:00+00:00,1992.3957244262695,0.06653715610420244,0.01325765241939775,0.16288262096988748,408.0,2023-11-23 09:00:00+00:00,1994.1024255981445,sl,-1.904579662282515e-06
long,437,2023-11-24 14:00:00+00:00,2002.6008421908293,0.06281454587542962,0.01258004628846818,0.12900231442340893,440.0,2023-11-24 15:30:00+00:00,1998.1004255981445,sl,-4.079998236407263e-05
long,441,2023-11-24 16:00:00+00:00,2000.9499872131346,0.06624987377085868,0.01325765241939775,0.16288262096988748,515.0,2023-11-27 15:00:00+00:00,2009.794648803711,sl,4.5590236087957874e-05
long,516,2023-11-27 15:30:00+00:00,2012.1555994262694,0.06588393446139776,0.01325765241939775,0.16288262096988748,537.0,2023-11-28 07:00:00+00:00,2012.3933244018556,sl,-1.170441446755053e-05
long,538,2023-11-28 08:00:00+00:00,2016.6077755737301,0.07034281984443232,0.01418638805158166,0.209319402579083,540.0,2023-11-28 10:00:00+00:00,2013.6926011962892,sl,-3.467850079844119e-05
long,541,2023-11-28 11:00:00+00:00,2016.50775,0.07034386958059634,0.01418638805158166,0.209319402579083,542.0,2023-11-28 12:00:00+00:00,2013.6926011962892,sl,-3.39778245295444e-05
long,544,2023-11-28 14:00:00+00:00,2027.61327557373,0.0653764088928316,0.01325765241939775,0.16288262096988748,550.0,2023-11-28 17:00:00+00:00,2040.6791011962891,tp,7.271167220543422e-05
long,551,2023-11-28 17:30:00+00:00,2042.070512786865,0.061884215630329,0.012638033123819087,0.1319016561909543,564.0,2023-11-29 03:00:00+00:00,2043.9775000000002,sl,-8.376258790052918e-07
long,565,2023-11-29 04:00:00+00:00,2047.723301147461,0.06927417062612964,0.01418638805158166,0.209319402579083,567.0,2023-11-29 06:00:00+00:00,2043.9775000000002,sl,-4.010352431336657e-05
long,568,2023-11-29 07:00:00+00:00,2044.321698852539,0.06607243420040274,0.013508781920652085,0.1754390960326042,569.0,2023-11-29 08:00:00+00:00,2062.768148803711,tp,0.00010947189319360557
long,571,2023-11-29 10:00:00+00:00,2059.329198852539,0.061088203997298286,0.01258004628846818,0.12900231442340893,633.0,2023-12-01 11:00:00+00:00,2055.3717023925783,sl,-3.672170012206576e-05
long,639,2023-12-01 15:30:00+00:00,2074.836948852539,0.06389510708386051,0.01325765241939775,0.16288262096988748,657.0,2023-12-02 04:00:00+00:00,2096.922972028809,tp,0.00012935650933415164
long,658,2023-12-02 05:00:00+00:00,2099.9173929638673,0.06314013994775253,0.01325765241939775,0.16288262096988748,685.0,2023-12-03 08:00:00+00:00,2121.9984553588865,tp,0.00012760330905514032
long,686,2023-12-03 09:00:00+00:00,2125.017964321289,0.059212877873714015,0.01258004628846818,0.12900231442340893,707.0,2023-12-04 06:00:00+00:00,2094.952,sl,-0.0001880613839863857
long,708,2023-12-04 07:00:00+00:00,2084.0415,0.06036576801962175,0.01258004628846818,0.12900231442340893,715.0,2023-12-04 14:00:00+00:00,2067.8654523925784,sl,-0.00010947853516380402
long,781,2023-12-06 17:00:00+00:00,2048.323698852539,0.06141167671948678,0.01258004628846818,0.12900231442340893,789.0,2023-12-06 21:00:00+00:00,2042.3783244018555,sl,-4.900081366451381e-05
