side,entry_price,tp_dist,stop_dist,risk_frac,conf_weight,vol_scale,rweight
short,1964.6171755981445,32.09987967354891,8.559967912946377,0.18038897444849153,0.515397069852833,1.0,1.0
long,1945.1840981835937,21.329707031249818,5.687921874999951,0.18338326938265798,0.5239521982361657,1.0,1.0
long,1940.46975,20.331240234374945,5.4216640624999854,0.19547349365045624,0.5584956961441607,1.0,1.0
long,1951.775448852539,10.157252720424204,2.7086007254464546,0.18338326938265798,0.5239521982361657,1.0,1.0
long,1967.183051147461,13.071350097656055,3.4856933593749484,0.18338326938265798,0.5239521982361657,1.0,1.0
long,1988.8939744262693,27.064322335379465,7.217152622767857,0.18310838388284806,0.5231668110938517,1.0,1.0
long,1984.2316199999998,17.489243512834946,4.663798270089319,0.18463075741625654,0.527516449760733,1.0,1.0
long,1993.3962244262693,22.285609654017954,5.942829241071455,0.19547349365045624,0.5584956961441607,1.0,1.0
long,1991.49525,24.5141863141745,6.537116350446533,0.186504034413636,0.5328686697532458,1.0,1.0
long,2015.4072244262695,20.528529575892954,5.474274553571455,0.18785960474016233,0.5367417278290353,1.0,1.0
long,2051.025,25.671386718749904,6.845703124999975,0.18338326938265798,0.5239521982361657,1.0,1.0
long,2047.723301147461,20.442940848214384,5.451450892857169,0.19175916120798314,0.5478833177370948,1.0,1.0
long,2096.331597055664,40.740276227678805,10.864073660714348,0.186504034413636,0.5328686697532458,1.0,1.0
long,2048.323698852539,43.56406075613859,11.617082868303624,0.18310838388284806,0.5231668110938517,1.0,1.0
long,2046.822948852539,19.32874407087073,5.154331752232196,0.18817969881238059,0.5376562823210874,1.0,1.0
long,2023.71132557373,22.66820800781261,6.044855468750029,0.186504034413636,0.5328686697532458,1.0,1.0
long,2013.806448852539,25.362963867187187,6.763457031249917,0.18338326938265798,0.5239521982361657,1.0,1.0
long,2030.1145255737301,43.39298793247787,11.571463448660767,0.186504034413636,0.5328686697532458,1.0,1.0
long,2053.226051147461,18.493181501116364,4.931515066964364,0.18338326938265798,0.5239521982361657,1.0,1.0
long,2048.4237244262695,26.74286760602708,7.131431361607222,0.18338326938265798,0.5239521982361657,1.0,1.0
