side,entry_price,entry_idx,conf_weight,vol_scale,risk_frac
short,1964.6171755981445,20,0.5491226802395203,1.0,0.13728067005988007
long,1971.1851122131347,154,0.5645011572117045,1.0,0.14112528930292612
long,1967.183051147461,169,0.5891692189000749,1.0,0.14729230472501872
long,1964.8819744262694,185,0.5659508280954771,1.0,0.14148770702386929
long,1988.8939744262693,217,0.5645011572117045,1.0,0.14112528930292612
long,1991.1950511474608,239,0.6046597012895415,1.0,0.15116492532238537
long,1985.4422372131346,247,0.5659508280954771,1.0,0.14148770702386929
long,1983.71136,264,0.5723410710441179,1.0,0.14308526776102948
short,1977.5707200000002,296,0.5491226802395203,1.0,0.13728067005988007
long,1993.3962244262693,342,0.6196022300251737,1.0,0.15490055750629342
long,1991.49525,350,0.5814413104849437,1.0,0.14536032762123594
