side,entry_time,entry_price,units,sl_price,tp_price,trail_stop,entry_commission,entry_prob,exit_time,exit_price,exit_commission,pnl,exit_reason
long,2023-12-07 05:00:00+00:00,2044.8386999999998,2.4473813020068516,2037.6494169015064,,,2.5022499999999988,0.5619108412932474,2023-12-07 17:00:00+00:00,2036.4268272513655,2.4919564699600643,-20.587060079868625,SL
long,2023-12-07 18:00:00+00:00,2047.3409499999998,2.4443901246638955,2039.830264488002,,,2.5022499999999988,0.5572022165846228,2023-12-08 13:00:00+00:00,2038.6063663293091,2.4915746349661556,-21.350730067686754,SL
long,2023-12-08 14:00:00+00:00,2036.4311155639643,2.457485530323997,2031.5239674752365,,,2.5022499999999988,0.5514167111769255,2023-12-08 14:00:00+00:00,2030.3050530947512,2.494722645062023,-15.054709875952184,SL
long,2023-12-08 15:00:00+00:00,2026.6223688720702,2.4693796322722346,2020.1402260149273,,,2.5022499999999988,0.5514167111769255,2023-12-08 16:00:00+00:00,2018.9281418793182,2.4927500162890084,-18.999967421980948,SL
short,2023-12-11 00:00:00+00:00,2022.3930999999998,2.471576866040533,2032.2931026157921,,,2.4992499999999986,0.4067391300796673,2023-12-13 19:00:00+00:00,2033.5124784773614,2.5129911993046967,-27.482398609395883,SL
long,2023-12-14 02:00:00+00:00,2048.64216887207,2.442837541880409,2037.6278386893134,,,2.5022499999999988,0.5514167111769255,2023-12-15 18:00:00+00:00,2036.4052619860997,2.487303612231227,-29.892775537543585,SL
long,2023-12-15 19:00:00+00:00,2035.6304688720702,2.4584520994976846,2028.623323399135,,,2.5022499999999988,0.5619108412932474,2024-01-08 11:00:00+00:00,2027.4061494050954,2.492140452269737,-20.219095460523747,SL
long,2024-01-12 12:00:00+00:00,2052.0451311279294,2.4387865179403816,2045.2522975272038,,,2.5022499999999983,0.551769366495144,2024-01-16 09:00:00+00:00,2044.0251461486873,2.492470484379268,-19.55903124145989,SL
long,2024-01-16 16:00:00+00:00,2046.740434436035,2.4451073110200965,2038.5868525442938,,,2.5022499999999988,0.5514167111769255,2024-01-16 16:00:00+00:00,2037.3637004327672,2.4907864395675583,-22.927120864880727,SL
long,2024-01-16 17:00:00+00:00,2038.8332999999998,2.4545900834560617,2030.6154350097654,,,2.5022499999999988,0.5572022165846228,2024-01-16 17:00:00+00:00,2029.3970657487594,2.490668956490867,-23.162087018263172,SL
long,2024-01-16 18:00:00+00:00,2030.5257811279296,2.464632582611222,2022.0293473249162,,,2.5022499999999988,0.5619108412932474,2024-01-17 06:00:00+00:00,2020.8161297165211,2.490284638382822,-23.930723234354325,SL
long,2024-01-19 08:00:00+00:00,2031.9270655639643,2.4629328900695513,2027.3841796473907,,,2.5022499999999988,0.5619108412932474,2024-01-19 15:00:00+00:00,2026.1677491396022,2.495157595077059,-14.18480984587935,SL
long,2024-01-19 17:00:00+00:00,2028.8242999999998,2.466699555994079,2022.1814297781805,,,2.5022499999999988,0.551769366495144,2024-01-22 06:00:00+00:00,2020.9681209203134,2.4925605832761626,-19.378833447672413,SL
long,2024-01-22 07:00:00+00:00,2024.1201188720702,2.472432319277933,2018.4736955322264,,,2.502249999999999,0.5564779912037686,2024-01-22 14:00:00+00:00,2017.262611314907,2.4937726383429872,-16.954723314023006,SL
long,2024-01-22 19:00:00+00:00,2024.720634436035,2.47169901609362,2017.413509889439,,,2.5022499999999988,0.5514167111769255,2024-01-24 15:00:00+00:00,2016.2030617835053,2.491723562027617,-21.05287594476353,SL
long,2024-01-24 16:00:00+00:00,2017.9144655639643,2.4800357425463746,2011.4323096278595,,,2.5022499999999988,0.5514167111769255,2024-01-25 13:00:00+00:00,2010.2254502420826,2.4927154835883716,-19.069032823253327,SL
long,2024-01-26 18:00:00+00:00,2018.0145311279296,2.4799127671309833,2012.625240182059,,,2.5022499999999988,0.5619108412932474,2024-02-13 14:00:00+00:00,2011.4176650379497,2.4940701737802016,-16.359652439594388,SL
long,2024-02-16 02:00:00+00:00,2019.1156188720702,2.4785603920966346,2013.3942138427733,,,2.5022499999999988,0.5619108412932474,2024-02-16 13:00:00+00:00,2012.1861773144676,2.4936624803079877,-17.17503938402211,SL
long,2024-02-16 14:00:00+00:00,2014.8116999999997,2.4838549428713352,2011.8117261579239,,,2.5022499999999988,0.5619108412932474,2024-02-16 14:00:00+00:00,2010.604639122229,2.497025135521893,-10.44972895621162,SL
long,2024-02-16 15:00:00+00:00,2011.6088688720702,2.4878096718702936,2007.4946066999162,,,2.5022499999999988,0.5619108412932474,,,,,
