side,entry_idx,entry_date,entry_price,units,invest,fee_entry,confidence,regime,stop_distance,tp_distance,dd_factor,exit_idx,exit_date,exit_price,fee_exit,pnl,return,exit_reason
short,267,2023-11-18 06:00:00+00:00,1981.338835,1.7655990677636924,3500.0,1.75,0.36723092998955065,bear,2.966150076729975,5.2731556919644005,1.0,310.0,2023-11-20 01:00:00+00:00,1984.6918011474609,1.7520849969521002,-7.6720789011521555,-0.00219202254318633,stop
short,1524,2024-01-02 07:00:00+00:00,2081.059047607422,2.399158890666425,4995.288960549424,2.4976444802747118,0.3716137112363527,bull,9.16728646414603,16.297398158481833,1.0,1558.0,2024-01-03 10:00:00+00:00,2064.0315,2.4759697619202785,38.37582246667251,0.007682402913975094,takeprofit
short,1664,2024-01-07 00:00:00+00:00,2050.810112258301,2.1989599451507256,4511.905244588361,2.2559526222941804,0.3716137112363527,neutral,4.615132324218907,8.20467968750028,1.0,1693.0,2024-01-08 05:00:00+00:00,2038.2185511474609,2.2409804767182058,25.447358052937787,0.005640047091737949,takeprofit
short,1917,2024-01-16 05:00:00+00:00,2050.974,2.2038700667798006,4522.34137703215,2.261170688516075,0.3716137112363527,neutral,4.802660156249885,8.538062499999796,1.0,1925.0,2024-01-16 13:00:00+00:00,2042.320698852539,2.2505047274829573,16.820246650237667,0.0037193668606407128,takeprofit
short,2082,2024-01-21 22:00:00+00:00,2028.335373803711,1.7357637757967195,3522.4723031671633,1.7612361515835817,0.3716137112363527,bear,5.687863769531226,10.11175781249996,1.0,2121.0,2024-01-23 06:00:00+00:00,2037.318198852539,1.7681515646698274,-17.360213888744788,-0.004928417428047819,stop
long,2641,2024-02-10 04:00:00+00:00,2039.845367567139,1.724413890130375,3515.779795653048,1.757889897826524,0.4392044600503475,bear,3.9762993164063247,7.068976562500133,1.0,2687.0,2024-02-12 02:00:00+00:00,2035.1818511962892,1.7547479265720656,-9.796580333315717,-0.002786460160396941,stop
long,2701,2024-02-12 15:00:00+00:00,2027.8134488525388,1.7326503090931926,3511.7357310721486,1.7558678655360744,0.35256718475889315,bear,6.537877546037917,11.62289341517852,0.7,2727.0,2024-02-13 11:00:00+00:00,2040.279398803711,1.7675453654868616,19.831586670551694,0.005647232078165808,takeprofit
long,2755,2024-02-14 08:00:00+00:00,2002.1005255737302,1.7580642024763349,3518.062232653904,1.759031116326952,0.4454223229571046,bear,4.583582414899524,8.148590959821377,0.7,2789.0,2024-02-15 13:00:00+00:00,2014.3923244018556,1.7707155176369993,19.83905598613066,0.005639199841887039,takeprofit
short,3078,2024-02-25 23:00:00+00:00,2042.4782500000001,1.7246832597789747,3524.390241358335,1.7621951206791675,0.3716137112363527,bear,4.759299316406285,8.460976562500063,0.7,3117.0,2024-02-27 08:00:00+00:00,2048.62377557373,1.766613565658606,-12.365698645214668,-0.003508606538545177,stop
short,3442,2024-03-09 14:00:00+00:00,2184.3439844547192,2.30058333357439,5027.779255057532,2.513889627528766,0.3716137112363527,bull,5.310037667410948,9.44006696428613,0.7,3476.0,2024-03-11 00:00:00+00:00,2194.196647705078,2.5239661191475498,-25.190838984243232,-0.005010331143497066,stop
