iter	Passed	Remaining
424	1901	2572
425	1905	2567
426	1909	2561
427	1912	2556
428	1916	2550
429	1920	2545
430	1923	2539
431	1927	2534
432	1931	2528
433	1934	2523
434	1938	2517
435	1942	2512
436	1945	2506
437	1949	2501
438	1953	2495
439	1956	2490
440	1960	2484
441	1963	2479
442	1967	2473
443	1971	2468
444	1974	2462
445	1978	2457
446	1981	2452
447	1985	2446
448	1989	2441
449	1992	2435
450	1997	2431
451	2001	2427
452	2005	2421
453	2009	2416
454	2012	2410
455	2016	2405
456	2020	2400
457	2023	2394
458	2028	2390
459	2031	2385
460	2035	2379
461	2039	2374
462	2043	2369
463	2046	2364
464	2050	2358
465	2053	2353
466	2057	2348
467	2061	2343
468	2064	2337
469	2068	2332
470	2072	2327
471	2076	2322
472	2079	2317
473	2083	2312
474	2087	2306
475	2090	2301
476	2094	2296
477	2098	2291
478	2101	2286
479	2106	2282
480	2110	2276
481	2113	2271
482	2117	2266
483	2121	2261
484	2124	2256
485	2128	2250
486	2132	2246
487	2136	2241
488	2140	2236
489	2143	2231
490	2147	2226
491	2151	2221
492	2154	2216
493	2158	2210
494	2162	2206
495	2165	2200
496	2169	2195
497	2173	2190
498	2177	2185
499	2181	2181
500	2184	2176
501	2188	2171
502	2192	2166
503	2195	2160
504	2199	2155
505	2203	2150
506	2209	2148
507	2215	2145
508	2220	2141
509	2223	2136
510	2229	2133
511	2234	2129
512	2239	2125
513	2244	2121
514	2249	2118
515	2254	2114
516	2258	2110
517	2264	2106
518	2270	2103
519	2278	2102
520	2283	2099
521	2288	2095
522	2293	2091
523	2298	2088
524	2304	2084
525	2310	2081
526	2313	2076
527	2317	2071
528	2322	2067
529	2326	2063
530	2330	2058
531	2333	2053
532	2338	2048
533	2342	2044
534	2345	2038
535	2349	2033
536	2354	2029
537	2358	2025
538	2363	2021
539	2367	2016
540	2372	2012
541	2377	2009
542	2382	2004
543	2388	2001
544	2391	1996
545	2395	1991
546	2399	1986
547	2403	1982
548	2407	1977
549	2410	1972
550	2414	1967
551	2419	1963
552	2422	1958
553	2426	1953
554	2430	1948
555	2434	1944
556	2438	1939
557	2442	1934
558	2446	1929
559	2450	1925
560	2454	1920
561	2458	1915
562	2461	1910
563	2466	1906
564	2470	1902
565	2474	1897
566	2477	1892
567	2482	1888
568	2486	1883
569	2490	1878
570	2493	1873
571	2498	1869
572	2502	1864
573	2506	1860
574	2511	1856
575	2516	1852
576	2520	1847
577	2523	1842
578	2527	1837
579	2531	1833
580	2535	1828
581	2538	1823
582	2542	1818
583	2546	1814
584	2550	1809
585	2554	1804
586	2557	1799
587	2562	1795
588	2566	1790
589	2570	1786
590	2575	1782
