iter	Logloss
0	0.6880776836
1	0.6842207072
2	0.6804539086
3	0.6771053255
4	0.6720691644
5	0.6689681966
6	0.6662549192
7	0.6626692691
8	0.6586211521
9	0.6548026471
10	0.6526980313
11	0.6502138635
12	0.6477599668
13	0.645201823
14	0.6433054462
15	0.6414286623
16	0.6394593721
17	0.6353121978
18	0.632975851
19	0.6302083149
20	0.6275495005
21	0.6250595476
22	0.6234240856
23	0.6216749162
24	0.6189975563
25	0.61698847
26	0.6149409701
27	0.6127097579
28	0.611252069
29	0.6090853149
30	0.6071607465
31	0.6046215804
32	0.6023039984
33	0.5998942383
34	0.5988335981
35	0.5973160502
36	0.594575489
37	0.5924345624
38	0.5903594471
39	0.587252881
40	0.5855045637
41	0.5838496528
42	0.5824087789
43	0.5804184067
44	0.5790630871
45	0.5771425413
46	0.5761488138
47	0.5750418523
48	0.5734786583
49	0.5716555919
50	0.5696487929
51	0.5679903954
52	0.5659240355
53	0.5645662764
54	0.5626269284
55	0.5618123454
56	0.5602625823
57	0.5584506564
58	0.5566339018
59	0.555109792
60	0.5540061156
61	0.5521030487
62	0.5499108444
63	0.548638424
64	0.5477110669
65	0.5466194427
66	0.5450221049
67	0.544127864
68	0.5428643854
69	0.5411475708
70	0.5394467409
71	0.5382632259
72	0.5365646822
73	0.5351081536
74	0.5334917245
75	0.5321427426
76	0.5309619796
77	0.5299521361
78	0.5284201607
79	0.5271346849
80	0.5252487765
81	0.5235547356
82	0.5222381012
83	0.5204884135
84	0.5196656228
85	0.5180271378
86	0.5173306287
87	0.5165669726
88	0.5151966192
89	0.5135961039
90	0.5122621189
91	0.5110029387
92	0.5105659227
93	0.50995405
94	0.5082028523
95	0.5071946195
96	0.5057145591
97	0.5048233593
98	0.5032767882
99	0.5021736927
100	0.5012928336
101	0.5003207484
102	0.4990357376
103	0.4973709014
104	0.4961119455
105	0.4954973981
106	0.4943824297
107	0.4929374873
108	0.4922765014
109	0.4909480992
110	0.4890369414
111	0.487544404
112	0.4864604919
113	0.4851742063
114	0.4837626475
115	0.4826338054
116	0.4816043552
117	0.4807090055
118	0.4793783067
119	0.477571349
120	0.4759658708
121	0.4746935041
122	0.4739131415
123	0.4728718641
124	0.4719242126
125	0.47041233
126	0.469827029
127	0.4683251351
128	0.4670239505
129	0.465733586
130	0.4647381751
131	0.4635791971
132	0.4628818134
133	0.4618199616
134	0.4607589091
135	0.4599817325
136	0.4590026361
137	0.458212806
138	0.4576332148
139	0.4564648871
140	0.454790624
141	0.4534587899
142	0.4520521896
143	0.4508306679
144	0.4501466863
145	0.4491288337
146	0.448039962
147	0.4471423821
148	0.4462803463
149	0.445588694
150	0.4447213852
151	0.4437025287
152	0.4421461481
153	0.4409998692
154	0.4397915501
155	0.4390676145
156	0.4372654372
157	0.4360006238
158	0.4348438469
159	0.4341276922
160	0.4328359803
161	0.4321623573
162	0.4310676456
163	0.429415314
164	0.4278040345
165	0.4270142448
166	0.4259673495
167	0.4250348213
168	0.4238947073
169	0.4231870373
170	0.4222063438
171	0.4215852145
172	0.4208234748
173	0.4195173369
174	0.4188150162
175	0.4178251503
176	0.4167604325
177	0.4155393988
178	0.4148369963
179	0.4137023171
180	0.4122987453
181	0.4110953566
182	0.4090597745
183	0.407817088
184	0.4070598715
185	0.4063675869
186	0.4054667023
187	0.4046214155
188	0.4035808349
189	0.4021623574
190	0.4010908812
191	0.4003475982
192	0.3992713981
193	0.3980822174
194	0.397223406
195	0.3961108838
196	0.3950933941
197	0.394276849
198	0.3932784083
199	0.39230052
200	0.3911179931
201	0.3901087592
202	0.3888164489
203	0.3877672687
204	0.3870291473
205	0.3864042439
206	0.3852973785
207	0.3841342812
208	0.3834264595
209	0.3824690203
210	0.381706369
211	0.380552047
212	0.3794766678
213	0.3782134739
214	0.3768137389
215	0.3758899399
216	0.3751465901
217	0.3743063451
218	0.3735705
219	0.3730292683
220	0.3720241591
221	0.3713538723
222	0.3706975408
223	0.3699764358
224	0.3687413045
225	0.3678408562
226	0.3674450359
227	0.3668157601
228	0.365950614
229	0.3651366545
230	0.3638305345
231	0.363147921
232	0.3622963636
233	0.3617131072
234	0.3605059698
235	0.35911963
236	0.3580267132
237	0.35676139
238	0.3560110527
239	0.3553519629
240	0.3540692824
241	0.3534598857
242	0.3529223915
243	0.3523905642
244	0.3516686217
245	0.350862519
246	0.3500590639
247	0.3494809719
248	0.3484906399
249	0.3480060441
250	0.347005554
251	0.3461773411
252	0.3451073125
253	0.3439628464
254	0.3429569668
255	0.3423263406
256	0.3417498593
257	0.3409491196
258	0.3403009215
259	0.3393300442
260	0.3388433012
261	0.337947711
262	0.3370334296
263	0.3364294649
264	0.3357796566
265	0.3350562153
266	0.3346113964
267	0.3337618934
268	0.3331999191
269	0.3325790371
270	0.3320449273
271	0.3308818733
272	0.3298079143
273	0.3284452271
274	0.32777762
275	0.3272345454
276	0.3261668784
277	0.325381134
278	0.3249665916
279	0.3236568309
280	0.3224575302
281	0.3217619189
282	0.3211102659
283	0.320271584
284	0.3197297736
285	0.3188409436
286	0.3178876119
287	0.3173193113
288	0.3167713158
289	0.3157629391
290	0.3151462826
291	0.3140361279
292	0.3131528863
293	0.3124467529
294	0.3115762087
295	0.3110991851
296	0.3105937933
297	0.3101854766
298	0.3095560804
299	0.3085985326
300	0.307776163
301	0.3069084254
302	0.3058322757
303	0.3053855558
304	0.3048610944
305	0.3040883596
306	0.3028996101
307	0.3020059969
308	0.3016713748
309	0.3006627922
310	0.2998349404
311	0.2988617558
312	0.2980405887
313	0.2974703746
314	0.2962271059
315	0.295635941
316	0.2947203563
317	0.2942195352
318	0.2938001303
319	0.2933077698
320	0.2925083162
321	0.2920312539
322	0.2913082844
323	0.2904590837
324	0.2897910775
325	0.2892516661
326	0.2882268275
327	0.2876885087
328	0.2867249422
329	0.2855038463
330	0.2850352521
331	0.2843057122
332	0.2832350257
333	0.2824691034
334	0.281849153
335	0.2810553647
336	0.2804828408
337	0.2794853954
338	0.2784097291
339	0.2773193987
340	0.2765362642
341	0.2759391447
342	0.27529543
343	0.2744928335
344	0.2740389466
345	0.2734794959
346	0.272704285
347	0.2718316635
348	0.2709974663
349	0.2704729826
350	0.269782171
351	0.2692338497
352	0.2687326429
353	0.2681092201
354	0.267017056
355	0.2667333605
356	0.2657821393
357	0.2653066529
358	0.2647815978
359	0.2642318514
360	0.2638232334
361	0.2635765133
362	0.2631250512
363	0.26261661
364	0.2621007149
365	0.2615094814
366	0.2610639153
367	0.2605023056
368	0.2597877517
369	0.2593066525
370	0.2582832072
371	0.2578339949
372	0.257195635
373	0.2564956707
374	0.2561505636
375	0.2555096152
376	0.2549962555
377	0.2544205132
378	0.2539490149
379	0.2536229042
380	0.2527896543
381	0.2515773554
382	0.2510839663
383	0.2504437946
384	0.2497092332
385	0.2487402906
386	0.2482005982
387	0.2478043113
388	0.2472862199
389	0.2469781103
390	0.2463514551
391	0.246106571
392	0.2455456664
393	0.2450002895
394	0.2444050111
395	0.2441291442
396	0.2437644445
397	0.2432732213
398	0.2428613111
399	0.2423868152
400	0.2419154098
401	0.2416386577
402	0.2412670151
403	0.2405215409
404	0.2400044377
405	0.2395730755
406	0.2391359993
407	0.238675628
408	0.2383925599
409	0.2379239105
410	0.2371502296
411	0.2365615432
412	0.2359135148
413	0.2354431596
414	0.2350480148
415	0.2344536863
416	0.2340771483
417	0.2332958983
418	0.2328705647
419	0.2318922223
420	0.2312726039
421	0.2308926214
422	0.2305832941
423	0.229905814
424	0.2292569501
425	0.2289198359
426	0.2284938058
427	0.2279596517
428	0.2273724871
429	0.2270532375
430	0.2265037896
431	0.2263399559
432	0.2258615339
433	0.2254501926
434	0.2250365885
435	0.2247331837
436	0.224254619
437	0.2237838546
438	0.2235802737
439	0.2232818146
440	0.2230229611
441	0.2225992137
442	0.2223129916
443	0.2218857843
444	0.2215233988
445	0.2213094741
446	0.2208259101
447	0.2203652976
448	0.2198857513
449	0.2195588352
450	0.2190782828
451	0.2186840171
452	0.2184288942
453	0.2179825188
454	0.2176506588
455	0.2170551218
456	0.2166772889
457	0.2162194648
458	0.2158411895
459	0.2155869168
460	0.2152513227
461	0.2147219711
462	0.2143949864
463	0.2139740546
464	0.213584533
465	0.2131547072
466	0.2126582132
467	0.2121259454
468	0.2117162752
469	0.2115245022
470	0.2110517579
471	0.2105091159
472	0.2102455444
473	0.2097436871
474	0.2094311623
475	0.209054248
476	0.2083387253
477	0.2077910866
478	0.2075736477
479	0.2073965913
480	0.2069790638
481	0.2065991304
482	0.2064074017
483	0.2058328342
484	0.2054585143
485	0.2050922333
486	0.2046337585
487	0.2042462911
488	0.2038969107
489	0.2035556755
490	0.2031775771
491	0.2026394178
492	0.2020989832
493	0.2015635372
494	0.2013573885
495	0.2010075445
496	0.2006679968
497	0.2000759293
498	0.1993777713
499	0.1991016203
500	0.1987086094
501	0.1981842535
502	0.1978275089
503	0.1976487412
504	0.197266147
505	0.1968330713
506	0.1964901114
507	0.1962141616
508	0.1959489289
509	0.1955824755
510	0.1950006496
511	0.1948072849
512	0.1945651803
513	0.1943659898
514	0.1941174327
515	0.1935860047
516	0.1932657961
517	0.1930444548
518	0.1928333303
519	0.1923708015
520	0.191762548
521	0.1914176146
522	0.191027791
523	0.1906599487
524	0.1899420746
525	0.1895245038
526	0.1892410681
527	0.1888832177
528	0.1883245833
529	0.1880736623
530	0.187752606
531	0.1873893872
532	0.1872428334
533	0.1868897484
534	0.1867370447
535	0.1863633796
536	0.1860706852
537	0.1858569944
538	0.1856388314
539	0.1852586736
540	0.1850596016
541	0.1847639887
542	0.1842780873
543	0.1838152037
544	0.1835215093
545	0.1833363089
546	0.1830357462
547	0.1825972515
548	0.1821265201
549	0.1816906603
550	0.1813791855
551	0.1808539963
552	0.1805128598
553	0.1802471944
554	0.1797245656
555	0.1793326454
556	0.179163215
557	0.1785694647
558	0.178285551
559	0.1778312763
560	0.1773422118
561	0.1771685595
562	0.1769353206
563	0.1766759866
564	0.1765078951
565	0.1762716062
566	0.1761111312
567	0.1758550316
568	0.1752768403
569	0.1749603412
570	0.1748171811
571	0.1745303025
572	0.1742314072
573	0.1740870666
574	0.173931868
575	0.1736205857
576	0.173018463
577	0.1724509555
578	0.1719925208
579	0.1718668428
580	0.1716721666
581	0.1713020969
582	0.1708064139
583	0.17063961
584	0.17043273
585	0.1702492615
586	0.1698868236
587	0.1696711384
588	0.1692285659
589	0.1691235846
590	0.1686166327
591	0.168209033
592	0.1678597033
593	0.1675295984
594	0.1672219768
595	0.1670982178
596	0.1665496078
597	0.1662525446
598	0.1660105543
599	0.1658755893
600	0.1657352229
601	0.1651844492
602	0.1650864952
603	0.1648649313
604	0.1644546084
605	0.16421777
606	0.163888504
607	0.1637457282
608	0.1636193981
609	0.1634692558
610	0.1632106761
611	0.1629242789
612	0.1626978254
613	0.162589645
614	0.162196299
615	0.16180787
616	0.1615428231
617	0.1610933024
618	0.1608067963
619	0.1606768253
620	0.1604121629
621	0.1599293112
622	0.1595360461
623	0.1592140339
624	0.1588177885
625	0.1584111337
626	0.1576723384
627	0.1573849157
628	0.1571046791
629	0.1567834036
630	0.1564424716
631	0.1561569688
632	0.1558817628
633	0.1556634655
634	0.1554737701
635	0.1552654955
636	0.1551776991
637	0.1549343672
638	0.1547110083
639	0.1542100849
640	0.1539939571
641	0.1537309883
642	0.1534700097
643	0.1532021007
644	0.1529102743
645	0.1527410846
646	0.1523440558
647	0.151984974
648	0.15180671
649	0.1515013348
650	0.1512297666
651	0.1509259928
652	0.1507112111
653	0.1505155399
654	0.150303272
655	0.1499966527
656	0.1494681285
657	0.1491295819
658	0.1489936087
659	0.1488350278
660	0.148715575
661	0.1485215365
662	0.1483178
663	0.1481577902
