feature,importance
Return_lag2,0.03865712547524887
MACD,0.03513836989846604
Return_lag10,0.034662067243816756
Return_lag1,0.03312400749865997
Return_lag3,0.031757841877223136
^GSPC_chg1d,0.0314175330059476
Return_lag5,0.029258809518298505
Gold_vs_DXY,0.02775703961019199
Volatility5,0.02753429080410126
DXY_chg1d,0.026512188329947815
CRUDE_OIL_lag1,0.025824018531661875
^IXIC,0.025653459638773513
CRUDE_OIL_chg1d,0.025482407076473472
BB_std,0.025112658729881547
^IXIC_lag1,0.024687960888951303
RSI14,0.024579473262027855
CRUDE_OIL,0.024370679922395826
^IXIC_chg1d,0.024287965000085645
Momentum10,0.023646928572873493
DXY_lag1,0.022426105865517375
Volatility10,0.02217218826981103
^GSPC_lag1,0.02140652872660423
^GSPC,0.019318914064353824
Return,0.01851254014829644
Return_1d,0.018388911730229322
LogReturn,0.018136348454268855
Close_lag10,0.017861410390014223
DXY,0.01776731927328059
month,0.01705006129812216
EMA10,0.01555653788129024
BB_upper,0.015004610800368284
Close,0.014742677203944447
Close_lag2,0.014593769472301529
MA10,0.014248139873607015
BB_mid,0.014221070143532938
MA15,0.013710518086764111
dow,0.013516524258380812
Close_lag1,0.013465323202472677
CPI_lag1,0.013385697980303389
BB_lower,0.012594077740889994
Close_lag3,0.012030582239361702
EMA30,0.011640666014440897
CPI_chg1d,0.011501310864401123
Close_lag5,0.011438588008661606
MA5,0.010957594513211833
High,0.01011222835919942
Low,0.009811359242427474
FEDFUNDS,0.009551574554383328
FEDFUNDS_lag1,0.008671073079844485
Open,0.00798948656120785
CPI,0.007147241644966423
is_month_end,0.0011949514635012997
FEDFUNDS_chg1d,0.00040918922264208176
Volume,0.0
