feature,importance
Return_lag1,0.042301981124908294
Return_lag2,0.0369822314284817
Return_lag10,0.03518534710322674
^GSPC_chg1d,0.03426515490202858
Return_lag5,0.033696392835732975
Return_lag3,0.030790695770553624
MACD,0.03001874923330673
Volatility5,0.028169572323308398
CRUDE_OIL,0.02716921446501024
DXY_chg1d,0.026922408395255025
^IXIC_chg1d,0.026706577725724927
CRUDE_OIL_chg1d,0.025070978000243972
CRUDE_OIL_lag1,0.024468037936475753
^IXIC,0.024219991375189598
BB_std,0.023718166468234478
Return,0.023679152942180468
LogReturn,0.023500858463086874
Gold_vs_DXY,0.023395695128492065
RSI14,0.023101651195180338
Momentum10,0.022834372303394017
Volatility10,0.022747126684061446
^IXIC_lag1,0.022342191290527898
DXY_lag1,0.021916119136465153
DXY,0.020229830259852127
Return_1d,0.019414183109919422
Close_lag10,0.017964683575591705
^GSPC_lag1,0.017964425497095725
^GSPC,0.017442414957576917
BB_lower,0.016838068178613594
MA15,0.01675905759924672
month,0.0163496642184058
dow,0.016116415323547247
Close_lag2,0.015032182297832038
Low,0.014308756870761871
BB_upper,0.014008637376708358
CPI,0.013107886279056362
is_month_end,0.013087966384302778
High,0.012488403980716743
MA5,0.01245892626690586
Close_lag5,0.012439286715717394
FEDFUNDS_lag1,0.012359191739296223
MA10,0.012068629825247907
Close_lag3,0.011840609619847713
CPI_lag1,0.01129774681784597
Close_lag1,0.01082895033041584
FEDFUNDS,0.00982174796864531
EMA30,0.00951070954473069
Open,0.009197387047943486
Close,0.007350738306952714
BB_mid,0.0034157275122299923
EMA10,0.002292109384528146
CPI_chg1d,0.0006864295853478411
FEDFUNDS_chg1d,0.00011651317733888236
Volume,0.0
