feature,importance
MACD,0.03765131758745991
Return_lag2,0.03632153576851167
Return_lag1,0.03339934576845421
Return_lag10,0.03112262562630958
Return_lag5,0.03029012068298082
Gold_vs_DXY,0.030191311679248094
CRUDE_OIL_chg1d,0.02950380119896998
DXY_chg1d,0.029296931471966468
^GSPC_chg1d,0.029176848567173265
BB_std,0.028837894473375085
RSI14,0.028611329873559875
^IXIC,0.028287249041246243
Return_lag3,0.028268737041776744
Volatility5,0.02741905857528003
^IXIC_lag1,0.027040337798226344
CRUDE_OIL_lag1,0.02693983671615515
Volatility10,0.02647520899498908
CRUDE_OIL,0.026452440256985423
Return,0.02485088479129103
DXY_lag1,0.02474153209957011
Return_1d,0.024670234573188586
LogReturn,0.024502827747898623
month,0.023764369331437593
Momentum10,0.02291620800947585
^IXIC_chg1d,0.02093632032701545
^GSPC_lag1,0.020848806002562816
^GSPC,0.01829726596770919
BB_upper,0.015606645809056262
Open,0.015347872772004955
EMA30,0.015345305509824214
DXY,0.014959378039173701
MA15,0.014732404443459754
CPI_lag1,0.014655355359454421
MA10,0.014631144453488532
dow,0.014446456201016308
EMA10,0.013108081741033846
BB_lower,0.012768657352085266
FEDFUNDS_lag1,0.012380081911891272
is_month_end,0.012190603620701857
BB_mid,0.011890482161654232
High,0.011438712973183546
Close,0.011389346091474229
Close_lag5,0.009631282284033486
FEDFUNDS,0.008067696340023234
Close_lag10,0.0080243806109739
Close_lag1,0.007600214550442818
Low,0.006339437501440545
CPI,0.005362241046859288
Close_lag3,0.0038125928004755943
Close_lag2,0.003055293147649031
MA5,0.0023751305486948353
CPI_chg1d,2.687421265993329e-05
Volume,0.0
FEDFUNDS_chg1d,0.0
