feature,importance
Return_lag1,0.045857652544501505
Return_lag2,0.03994318829555008
Return_lag10,0.03789931898976612
DXY_chg1d,0.034243923806358115
^GSPC_chg1d,0.033269728041038386
MACD,0.03211242928868708
^IXIC_lag1,0.030566776493319327
Return_lag3,0.02966957108989981
RSI14,0.02902801074594203
Return_lag5,0.028989388946547703
Gold_vs_DXY,0.027534509591116262
Volatility5,0.027532801268981204
^IXIC,0.027439219179936254
^IXIC_chg1d,0.02574147328950765
^GSPC_lag1,0.022885702955269625
CRUDE_OIL,0.02255817730504083
^GSPC,0.021352456028689848
Close_lag1,0.021278512748031886
CRUDE_OIL_chg1d,0.021263119876398357
BB_std,0.020762118929221914
Momentum10,0.020449932439724084
Volatility10,0.020149397659437587
CRUDE_OIL_lag1,0.01994849342046032
LogReturn,0.018567850373432063
EMA30,0.01825819408846206
Return,0.018241273471519617
Return_1d,0.01822303442517358
DXY_lag1,0.01820697169260574
month,0.018151197320292176
Close,0.017143094494206777
MA10,0.01681892831592547
is_month_end,0.016185546323416265
DXY,0.01601877962755555
BB_mid,0.014781100808952702
BB_upper,0.014422895320538753
Close_lag2,0.014112852193866307
BB_lower,0.01328120263819513
FEDFUNDS_lag1,0.011879242046817243
MA15,0.010774035427603945
CPI_chg1d,0.010448280318935296
Close_lag3,0.010444517711720624
Close_lag10,0.010331072308376552
Open,0.010261939534247784
dow,0.010253711410522576
FEDFUNDS,0.010035872448688565
High,0.009324724063235486
MA5,0.009035922212408445
CPI,0.007918463676344255
Low,0.007263915283416385
Close_lag5,0.004992067976571292
EMA10,0.0020955155225482296
CPI_lag1,0.0020518727479306737
Volume,0.0
FEDFUNDS_chg1d,0.0
